Comment ID,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
132147457,"He is not even a good scammer! He cooks and serves the wife and neighbor Vicky...the whole country go like....""awwwwwww"" ..our husband is husbanding Make he show face for all star first 😁",Housemate personality evaluation (boring/strong/weak),Neutral (132147457),The emotion expressed in this comment is amusement and sarcasm. (132147457),Mocking (132147457),1 (132147457),Housemate portrayal as “husband material” (132147457),2 (132147457),- (132147457),- (132147457),1 (132147457),7 (132147457),Idealization of domestic masculinity and caregiving men (132147457),2 (132147457),2 (132147457),1 (132147457),0 (132147457),0 (132147457),- (132147457),- (132147457),1 (132147457),he is not even a good scammer (132147457),1 (132147457),1 (132147457),0 (132147457),– (132147457),0 (132147457),– (132147457),0 (132147457),– (132147457),0 (132147457),– (132147457),0 (132147457),– (132147457),0 (132147457),– (132147457),0 (132147457),,,,,,,,,
131538059,"I swear. Boring couple with no storyline. If toby had left when they were in bottom 4, they wouldn't even have anything to talk about since husband and wife don't even talk to each other.",Housemate personality evaluation (boring/strong/weak),Negative (131538059),The emotion expressed in this comment is boredom and disinterest. (131538059),Dismissive (131538059),1 (131538059),BBNaija couple’s lack of storyline (131538059),3 (131538059),- (131538059),Boring storyline and lack of visible interaction between couple (131538059),0 (131538059),- (131538059),- (131538059),- (131538059),- (131538059),3 (131538059),3 (131538059),0 (131538059),- (131538059),- (131538059),0 (131538059),- (131538059),10 (131538059),10 (131538059),0 (131538059),– (131538059),0 (131538059),– (131538059),0 (131538059),– (131538059),0 (131538059),– (131538059),0 (131538059),– (131538059),0 (131538059),– (131538059),0 (131538059),,,,,,,,,
131315390,"Toby is telling someone's wife that if he discovers that her husband is the one, he'll never talk to them anymore. He thinks Double K hug and talk to each other like a couple.",Shipping/romance dynamics,Neutral (131315390),The emotion expressed in this comment is neutrality and mild curiosity. (131315390),Suspicious (131315390),1 (131315390),Housemate interpersonal boundaries (131315390),2 (131315390),- (131315390),- (131315390),0 (131315390),- (131315390),- (131315390),- (131315390),- (131315390),3 (131315390),3 (131315390),0 (131315390),- (131315390),- (131315390),0 (131315390),- (131315390),10 (131315390),10 (131315390),0 (131315390),– (131315390),0 (131315390),– (131315390),0 (131315390),– (131315390),0 (131315390),– (131315390),0 (131315390),– (131315390),0 (131315390),– (131315390),0 (131315390),,,,,,,,,
131605268,"Chekas are weak as a snail 🐌 Nelly won't do shiii... because again, she isn't as strong fighting the twin alone. Ben would be a better option I suppose",Housemate personality evaluation (boring/strong/weak),Negative (131605268),The emotion expressed in this comment is criticism and dismissal. (131605268),Contemptuous (131605268),1 (131605268),Housemate strength comparison (131605268),2 (131605268),- (131605268),- (131605268),0 (131605268),- (131605268),- (131605268),- (131605268),- (131605268),3 (131605268),3 (131605268),0 (131605268),- (131605268),- (131605268),1 (131605268),Chekas are weak as a snail (131605268),1 (131605268),1 (131605268),0 (131605268),– (131605268),0 (131605268),– (131605268),0 (131605268),– (131605268),0 (131605268),– (131605268),0 (131605268),– (131605268),0 (131605268),– (131605268),0 (131605268),,,,,,,,,
132135922,"This one no follow madam Eliza, enter house. His woman's fight as if she's just an ordinary woman to him. We still have responsible men who takes their wife's battle as theirs.",Marriage/Loyalty/Boundaries,Positive (132135922),The emotion expressed in this comment is approval and moral support. (132135922),Critical (132135922),1 (132135922),Housemate defending wife during conflict (132135922),1 (132135922),Responsible husband defending wife (132135922),- (132135922),1 (132135922),7 (132135922),Male protectionism and expectation to defend female partners (132135922),1 (132135922),1 (132135922),1 (132135922),0 (132135922),0 (132135922),- (132135922),- (132135922),0 (132135922),- (132135922),8 (132135922),9 (132135922),0 (132135922),– (132135922),0 (132135922),– (132135922),0 (132135922),– (132135922),0 (132135922),– (132135922),0 (132135922),– (132135922),0 (132135922),– (132135922),0 (132135922),,,,,,,,,
131823295,Kelly rae Like husband like wife Kassia massaged the tire Kelly rae is giving it cpr abi finishing the massage. What a couple.,Marriage/Loyalty/Boundaries,Positive (131823295),The emotion expressed in this comment is affection and admiration. (131823295),Affectionate (131823295),1 (131823295),Playful couple moment in BBNaija house (131823295),1 (131823295),Affectionate couple behavior and teamwork (131823295),- (131823295),0 (131823295),- (131823295),- (131823295),- (131823295),- (131823295),3 (131823295),3 (131823295),0 (131823295),- (131823295),- (131823295),0 (131823295),- (131823295),9 (131823295),9 (131823295),0 (131823295),– (131823295),1 (131823295),Reinforced belief that the couple functions well publicly as a coordinated husband–wife team (131823295),0 (131823295),– (131823295),0 (131823295),– (131823295),0 (131823295),– (131823295),0 (131823295),– (131823295),0 (131823295),,,,,,,,,
131928600,Wasn't Kassia just gistung with her husband and Topher just a few minutes before nominations? She still get mind nominate him. Even her husband had to shake his head,Marriage/Loyalty/Boundaries,Negative (131928600),The emotion expressed in this comment is surprise and mild disapproval. (131928600),Disapproving (131928600),1 (131928600),Nomination event involving Kassia (131928600),3 (131928600),- (131928600),Perceived hypocrisy and disloyalty in nominations (131928600),1 (131928600),4 (131928600),Gendered expectations of loyalty in nominations and alliances (131928600),3 (131928600),3 (131928600),1 (131928600),1 (131928600),0 (131928600),- (131928600),- (131928600),0 (131928600),- (131928600),2 (131928600),2 (131928600),0 (131928600),– (131928600),0 (131928600),– (131928600),0 (131928600),– (131928600),0 (131928600),– (131928600),0 (131928600),– (131928600),0 (131928600),– (131928600),0 (131928600),,,,,,,,,
131988126,All of them are boring ... especially those 40years old men Ozee n his bro forming peace-maker and senior men Ebuka should evict 6 people this Sunday.,Housemate personality evaluation (boring/strong/weak),Negative (131988126),The emotion expressed in this comment is frustration and contempt. (131988126),Frustrated (131988126),1 (131988126),Eviction commentary on older housemates (131988126),3 (131988126),- (131988126),Older housemates seen as dull and unentertaining (131988126),1 (131988126),7 (131988126),Ageism and masculinity norms tied to entertainment value (131988126),3 (131988126),3 (131988126),1 (131988126),1 (131988126),0 (131988126),- (131988126),- (131988126),1 (131988126),boring… especially those 40years old men (131988126),1 (131988126),1 (131988126),0 (131988126),– (131988126),0 (131988126),– (131988126),1 (131988126),Call for mass eviction by the show (evict multiple housemates) (131988126),0 (131988126),– (131988126),1 (131988126),Advocates mass eviction to improve the show (131988126),0 (131988126),– (131988126),0 (131988126),,,,,,,,,
131574917,i wan make dem evict that stupid ashewo's twins dey too like gossip Anyways rhutiee did a good job by insulting does olosho's wey no get pride,Sexual allegations & slut-shaming,Negative (131574917),The emotion expressed in this comment is anger and insult-driven hostility. (131574917),Aggressive (131574917),1 (131574917),Housemate gossip and insults (131574917),3 (131574917),- (131574917),Insulting language and condemnation of gossiping housemates (131574917),1 (131574917),4 (131574917),Moral policing of women’s gossiping and sexuality (131574917),3 (131574917),3 (131574917),1 (131574917),1 (131574917),0 (131574917),- (131574917),- (131574917),1 (131574917),stupid ashewo's twins (131574917),2 (131574917),2 (131574917),0 (131574917),– (131574917),0 (131574917),– (131574917),1 (131574917),Call to evict specific housemates (twins) (131574917),0 (131574917),– (131574917),1 (131574917),Advocates eviction of specific housemates (the twins) (131574917),0 (131574917),– (131574917),0 (131574917),,,,,,,,,
132137021,To me is a mistake ooo ... This move will give another strong fan base a chance... Why not take her there let her occupy space and reduce the number of competitors while you all focus on her husband for the win,Voting/prize-money strategy (“the money”),Neutral (132137021),The emotion expressed in this comment is strategic concern and calculation. (132137021),Strategic (132137021),1 (132137021),Strategic gameplay discussion (132137021),2 (132137021),- (132137021),- (132137021),0 (132137021),- (132137021),- (132137021),- (132137021),- (132137021),3 (132137021),3 (132137021),0 (132137021),- (132137021),- (132137021),0 (132137021),- (132137021),10 (132137021),10 (132137021),0 (132137021),– (132137021),0 (132137021),– (132137021),0 (132137021),– (132137021),0 (132137021),– (132137021),1 (132137021),Advocates strategic gameplay to reduce competitors and help husband win (132137021),0 (132137021),– (132137021),0 (132137021),,,,,,,,,
131538306,This season of BBNaija really brought a lot of never seen befores. 1st time having Husband and Wife in the house 1st time having twins in the house. Now 1st time having a pregnant woman in the house.,Meta commentary on show format/production,Positive (131538306),The emotion expressed in this comment is surprise and interest. (131538306),Observational (131538306),1 (131538306),Season format changes in BBNaija (131538306),1 (131538306),"Uniqueness of season format (married couple, twins, pregnancy) (131538306)",- (131538306),0 (131538306),- (131538306),- (131538306),- (131538306),- (131538306),3 (131538306),3 (131538306),0 (131538306),- (131538306),- (131538306),0 (131538306),- (131538306),9 (131538306),9 (131538306),1 (131538306),"Learned that this season introduced unprecedented formats (husband and wife, twins, pregnant housemate) (131538306)",0 (131538306),– (131538306),0 (131538306),– (131538306),0 (131538306),– (131538306),0 (131538306),– (131538306),0 (131538306),– (131538306),0 (131538306),,,,,,,,,
131604000,"Of all the men in that house, it's Kellyrae that's really a husband material. He's really matured and full of wisdom. The rest are just for errands. Never seen Shaun in an intelligent conversation, it's so so sex talk with his village people chosen forbidden wife Wanni",Housemate personality evaluation (boring/strong/weak),Positive (131604000),The emotion expressed in this comment is admiration and approval. (131604000),Admiring (131604000),1 (131604000),Evaluation of male housemates’ maturity (131604000),1 (131604000),"Maturity, wisdom, and husband material qualities (131604000)",- (131604000),1 (131604000),7 (131604000),Ideal husband masculinity and wisdom as male virtue (131604000),1 (131604000),1 (131604000),1 (131604000),0 (131604000),0 (131604000),- (131604000),- (131604000),0 (131604000),- (131604000),9 (131604000),9 (131604000),0 (131604000),– (131604000),1 (131604000),Reinforced belief that Kellyrae displays maturity and husband-like responsibility compared to others (131604000),0 (131604000),– (131604000),0 (131604000),– (131604000),1 (131604000),Advocates Kellyrae as ideal husband material / deserving winner (131604000),0 (131604000),– (131604000),0 (131604000),,,,,,,,,
132083927,This is why Phyna still beat Wanni any time Phyna was still ready to check and unleash on anyone without looking at groovy's face but this wanni turned mumu submissive wife that will need Oloriburuku shunts permission to confront anyone lol,Gender norms/misogyny/“women vs men” discourse,Negative (132083927),The emotion expressed in this comment is anger and ridicule. (132083927),Scornful (132083927),1 (132083927),Comparison to past BBNaija winners (132083927),3 (132083927),- (132083927),Criticism of submissiveness and loss of assertiveness (132083927),1 (132083927),4 (132083927),Critique of submissive femininity versus assertive womanhood (132083927),3 (132083927),3 (132083927),1 (132083927),1 (132083927),0 (132083927),- (132083927),- (132083927),1 (132083927),mumu submissive wife (132083927),1 (132083927),1 (132083927),0 (132083927),– (132083927),0 (132083927),– (132083927),0 (132083927),– (132083927),0 (132083927),– (132083927),0 (132083927),– (132083927),0 (132083927),– (132083927),0 (132083927),,,,,,,,,
131527569,Pool party and some of these men are wearing and ironing shirts Sigh Not even some Majority I've never seen where men are more conservative than women.,Gender norms/misogyny/“women vs men” discourse,Neutral (131527569),The emotion expressed in this comment is neutrality and casual observation. (131527569),Critical (131527569),1 (131527569),Pool party dress behavior in BBNaija (131527569),2 (131527569),- (131527569),- (131527569),1 (131527569),6 (131527569),Gendered modesty and clothing expectations (131527569),3 (131527569),3 (131527569),1 (131527569),1 (131527569),0 (131527569),- (131527569),- (131527569),0 (131527569),- (131527569),10 (131527569),10 (131527569),0 (131527569),– (131527569),0 (131527569),– (131527569),0 (131527569),– (131527569),0 (131527569),– (131527569),0 (131527569),– (131527569),0 (131527569),– (131527569),0 (131527569),,,,,,,,,
131456642,"Chinwe is a fat, ugly mad woman. She say ebuka don destroy her relationship. Ebuka abi your big mouth and fat lips did?",Sexual allegations & slut-shaming,Negative (131456642),The emotion expressed in this comment is anger and verbal aggression. (131456642),Abusive (131456642),1 (131456642),Criticism of housemate Chinwe (131456642),3 (131456642),- (131456642),Personal attacks and blame-shifting toward a housemate (131456642),1 (131456642),4 (131456642),Body-shaming and hostility toward women (131456642),3 (131456642),3 (131456642),2 (131456642),1 (131456642),0 (131456642),- (131456642),- (131456642),1 (131456642),"fat, ugly mad woman (131456642)",3 (131456642),3 (131456642),0 (131456642),– (131456642),0 (131456642),– (131456642),0 (131456642),– (131456642),0 (131456642),– (131456642),0 (131456642),– (131456642),0 (131456642),– (131456642),0 (131456642),,,,,,,,,
131527063,"Next team is Twingirls, Nelita and Zinne. Zion is the husband to two women. They are to cook for his friends from Amelica so one wife  called Nelly the chef to help her out.",Shipping/romance dynamics,Neutral (131527063),The emotion expressed in this comment is neutrality and descriptive narration. (131527063),Matter-of-fact (131527063),1 (131527063),Housemate team cooking task (131527063),2 (131527063),- (131527063),- (131527063),1 (131527063),1 (131527063),Domestic labor roles and polygamy satire (131527063),2 (131527063),2 (131527063),1 (131527063),3 (131527063),0 (131527063),- (131527063),- (131527063),0 (131527063),- (131527063),10 (131527063),10 (131527063),0 (131527063),– (131527063),0 (131527063),– (131527063),0 (131527063),– (131527063),0 (131527063),– (131527063),0 (131527063),– (131527063),0 (131527063),– (131527063),0 (131527063),,,,,,,,,
131196947,"I don't know al the pairs but from the few I got, wandi and Hani are from Kaduna. The married couple are from Delta- husband is Itsekiri and wife is Isoko. I can't say anything about the rest",Tribal/region/representation & casting,Neutral (131196947),The emotion expressed in this comment is neutrality and factual reporting. (131196947),Informative (131196947),1 (131196947),Housemate origin/background info (131196947),2 (131196947),- (131196947),- (131196947),0 (131196947),- (131196947),- (131196947),- (131196947),- (131196947),3 (131196947),3 (131196947),0 (131196947),- (131196947),- (131196947),0 (131196947),- (131196947),10 (131196947),10 (131196947),0 (131196947),– (131196947),0 (131196947),– (131196947),0 (131196947),– (131196947),1 (131196947),Shares background information about housemate pair origins and ethnicities (131196947),0 (131196947),– (131196947),0 (131196947),– (131196947),0 (131196947),,,,,,,,,
